ISSID,Municipality_metro,Metro,Rural,TownCity_Name,Suburbareaplacename,Police_Station,Coordinates,First_Street,Cross_Street,Start_Date,End_Date,Ongoing,type,type_id,Violent_or_violent,violent,Rangecode,Reasonforprotest,Location 1
30,KwaZulu Natal - eThekwini,1,0,Durban,International Convention Centre,KZN - Durban Central,"-29.852515,31.029795",Bram Fischer Rd,Stalwart Simelane Street,01/17/2013 12:00:00 AM,01/17/2013 12:00:00 AM,0,Service delivery,9,Violent,1,1,Business‚ labour and civil society organisations have been opposing a bid by Eskom to raise electricity tariffs by 16% a year over the next five years since the public hearings on its application began.,"6
(-29.852515, 31.029795)"
19,Gauteng - City of Johannesburg,1,0,Roodepoort,Vlaakfontein,GP - Roodepoort,"-26.168937,27.830882",Main Reef Road,Corlett Street,01/18/2013 12:00:00 AM,01/18/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,Basic service delivery,"3
(-26.168937, 27.830881)"
31,Limpopo - Lephalale,0,1,Polokwane,Lephalale - Medupi,LP - Lephalale,"-23.677936,27.7349",Herman street,Park ave,01/19/2013 12:00:00 AM,01/19/2013 12:00:00 AM,1,Labour related,4,Violent,1,5,Workers aligned with NUMSA downed tools to demand that Eskom replace the existing project labour agreement for the one that existed when construction started. They are also allegedly not being paid double on weekends and say that bonuses are not being paid out fairly or equally.,"8
(-23.677936, 27.7349)"
11,Free State - Metsimaholo,0,-1,Sasolburg,Sasolburg,FS - Sasolburg,"-26.813524,27.841596",Nelspruit street,Main street,01/20/2013 12:00:00 AM,01/22/2013 12:00:00 AM,0,Service delivery,9,Violent,1,3,"Residents protests against merger / amalgamation of Metsimaholo and Ngwathe local municipalities. Communities felt that they have not been consulted. Proposed redetermination of the municipal boundaries of Ngwathe Local Municipality and
Metsimaholo Local Municipality, by amalgamating both Metsimaholo Local Municipality and
Ngwathe Local Municipality excluding Edenville from Ngwathe Local Municipality and include
Edenville town, into Moqhaka Local Municipality.
The proposed redetermination affects the following municipalities: Ngwathe Local Municipality, Metsimaholo Local Municipality, Moqhaka Local Municipality and Fezile Dabi District Municipality.","2
(-26.813524, 27.841595)"
12,Free State - Metsimaholo,0,-1,Sasolburg,Zamdela,FS - Zamdela,"-26.865884,27.869297",Do not know,Do not know,01/20/2013 12:00:00 AM,01/22/2013 12:00:00 AM,0,Service delivery,9,Violent,1,3,"Residents protests against merger / amalgamation of Metsimaholo and Ngwathe local municipalities. Communities felt that they have not been consulted. Proposed redetermination of the municipal boundaries of Ngwathe Local Municipality and
Metsimaholo Local Municipality, by amalgamating both Metsimaholo Local Municipality and
Ngwathe Local Municipality excluding Edenville from Ngwathe Local Municipality and include
Edenville town, into Moqhaka Local Municipality.
The proposed redetermination affects the following municipalities: Ngwathe Local Municipality, Metsimaholo Local Municipality, Moqhaka Local Municipality and Fezile Dabi District Municipality.","2
(-26.865884, 27.869297)"
3,Eastern Cape - Ngquza Hill,0,0,Flagstaff,Sphaqeni village,EC - Flagstaff,"-31.079666,29.504489",Do not know,Do not know,01/21/2013 12:00:00 AM,01/23/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,Residents are protesting against the removal of containers used for street vending and poor service delivery at Sphaqeni village. Residents also called for Ingquza Hill Local municipality mayor to step down.,"1
(-31.079666, 29.504489)"
5,Eastern Cape - Nelson Mandela Bay,1,1,Port Elizabeth,Chris Hani Informal setlement,EC - New Brighton,"-33.900012,25.589001",Ntshekisa road,Ntshekisa road,01/21/2013 12:00:00 AM,01/22/2013 12:00:00 AM,0,Service delivery,9,Violent,1,3,"Basic service, residents demand proper housing, as a result of a fire that destroy their shack.","1
(-33.900011, 25.589001)"
10,Free State - Matjhabeng,0,1,Hennenman,Phomolong township,FS - Henneman,"-28.012174,27.081985",Motatamali St,Mohohlo St,01/21/2013 12:00:00 AM,01/21/2013 12:00:00 AM,0,Service delivery,9,Violent,1,3,"Residents marched to the local stadium to demand the eradication of bucket toilet systems, the allocation of sites and a 24 hour clinic.","2
(-28.012174, 27.081985)"
2,Eastern Cape - Mnquma,0,1,Butterworth,Butterworths and Centane,EC - Butterworth,"-32.332344,28.144698",R-47,Kentane road,01/23/2013 12:00:00 AM,01/23/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Residents of both towns Butterworths and Centane blockaded the R-47 between the two towns, accusing the Mnquma Municipality of ignoring their request for repairs to the road.","1
(-32.332343, 28.144698)"
17,Gauteng - City of Tshwane,1,0,Pretoria,Centurion - Denel,GP - Lyttelton,"-25.892122,28.191519",Nellmapius Dr,Nellpmapius Dr,01/23/2013 12:00:00 AM,01/25/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,Wage dispute. Numsa members at state owned arms manufacturer Denel have embarked on a protected strike over a long outstanding industrial dispute against Denel in relation to wage disparities. Numsa's view is that Denel has failed to adhere to the Collective Bargaining Agreement (CBA) signed between the union and its senior management.,"3
(-25.892122, 28.191519)"
39,North West - Madibeng,0,0,Kgabalatsane,Kgabalatsane,NW - Hebron,"-25.539886,28.017325",Lucas Mangope Dr,M21,01/23/2013 12:00:00 AM,01/23/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Protesters went on the rampage, barricading the road between Kgabalatsane and Hebron with burning tyres and rocks on Wednesday.
They were complaining about the lack of electricity.","5
(-25.539885, 28.017325)"
90,Western Cape - Cape Winelands,0,0,Cape Town,Crossroads,WC - Lansdowne,"-34.040298,18.677772",Nciphisa st,Phakamani st,01/23/2013 12:00:00 AM,01/24/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Crossroads residents burnt tyres in protest over Phase 2 of the Boystown housing project, accusing the ward councilor and steering committee of fraud, residents accused the ward councilor and steering committee of fraudulently selling houses to people who are not from the area.","9
(-34.040298, 18.677772)"
28,KwaZulu Natal - eThekwini,1,0,Durban,Kwamnyandu and Umlazi,KZN - Umlazi,"-29.972122,30.904116",Mangosuthu Highway,Mangosuthu Highway,01/24/2013 12:00:00 AM,01/31/2013 12:00:00 AM,0,Labour related,4,Violent,1,3,Strike by National Transport Movement forcefully fighting for recognition by Passenger Rail Agency of SA (Prasa) outside the prescribed legal processes,"6
(-29.972121, 30.904115)"
85,Northern Cape - Sol Plaatjie,0,0,Kimberley,Kimberley,NC - Kimberley,"-28.726421,24.75189",Do not know,Do not know,01/25/2013 12:00:00 AM,01/25/2013 12:00:00 AM,0,Labour related,4,Violent,1,5,"SAMWU leveled allegations of racism and a lack of transformation. Samwu members held municipal manager Goolam Akharwaray hostage in his office when they demanded the absorption of contract workers into full-time positions, a wage curve and the immediate dismissal of Matlhoko.","4
(-28.72642, 24.75189)"
89,Western Cape - City of Cape Town,1,0,Cape Town,Khayelitsha site C,WC - Khayelitsha,"-34.040298,18.677772",Maphongwane Ave,Solomon Tshuku Ave,01/25/2013 12:00:00 AM,01/26/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,"Residents protested against the Chairperson and Chancellor of Khayelitsha site C, regarding Isiphusethu People’s Housing Process (PHP), claiming the chairperson driving the initiative was illegally selling plot numbers to non-beneficiaries.","9
(-34.040298, 18.677772)"
13,Gauteng - City of Johannesburg,1,0,Johannesburg,Parkstation,GP - Johannesburg Central,"-26.197354,28.040803",Rissik Street,Loveday Street,01/26/2013 12:00:00 AM,01/26/2013 12:00:00 AM,0,Transport related,6,Peaceful,0,5,"Protest by National Transport Movement, to get recognition as a union by the Metrorail","3
(-26.197354, 28.040803)"
1,Eastern Cape - Amathole,0,1,East London,East London,EC - East London,"-33.004543,27.900027",Oxford street,Oxford steet,01/28/2013 12:00:00 AM,02/18/2013 12:00:00 AM,1,Labour related,4,Peaceful,0,4,More than 700 health workers from at least 20 clinics and health centres in the Amathole district protested in front of the health department’s Amathole District offices in Oxford Street demanding money owed to them.,"1
(-33.004542, 27.900027)"
41,Eastern Cape - Gariep,0,1,Gariep-Reinet,Asherville secondary school,EC - Graaff-Reinet,"-32.252105,24.540618",Paul Kruger Street,Paul Kruger Street,01/28/2013 12:00:00 AM,01/29/2013 12:00:00 AM,1,Education related,2,Peaceful,0,5,Shortage of teachers and lack of facilities.,"1
(-32.252105, 24.540617)"
37,North West - Ventersdorp,0,0,Ventersdorp,Boikhutsong,NW - Ventersdorp,"-26.316433,26.813823",Not applicable,Not applicable,01/29/2013 12:00:00 AM,01/29/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,"Basic services: water, electricity and housing to the community.","5
(-26.316433, 26.813822)"
6,Eastern Cape - Nelson Mandela Bay,1,0,Port Elizabeth,Kwanobuhle,EC - Kwanobuhle,"-33.80036,25.397295",Phato street,Phato street,01/30/2013 12:00:00 AM,01/30/2013 12:00:00 AM,0,Xenophobia,8,Violent,1,5,"Criminal mob, Looting several foreign-owned businesses","1
(-33.800359, 25.397295)"
18,Gauteng - Ekurhuleni,1,0,Midrand,Gallagher estate,GP - Midrand,"-26.001749,28.130477",Richards Dr,Johnnic Blvd,01/30/2013 12:00:00 AM,01/30/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,3,"Cosatu protest in opposition to Eskom’s proposed electricity tariff increase, at the Nersa public hearing.","3
(-26.001749, 28.130476)"
59,Gauteng - City of Johannesburg,1,0,Johannesburg,"Klipspruit, Soweto",GP - Moroka,"-26.256469,27.910261",Don't know,Don't know,01/30/2013 12:00:00 AM,01/30/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,Residents of Klipspruit in Soweto protested over the installation of water meters in their area,"3
(-26.256468, 27.91026)"
60,Gauteng - City of Johannesburg,1,0,Johannesburg,"Musi High School, Pimville, Soweto",GP - Moroka,"-26.2682,27.907252",Modjaji St,Modjaji St,01/31/2013 12:00:00 AM,01/31/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,Pensioners in Pimville in a protest against the installation of both water and electricity prepaid meters.,"3
(-26.2682, 27.907252)"
57,Gauteng - City of Johannesburg,1,1,Johannesburg,"Soweto, Holomisa Camp informal settlement",,"-26.253801,27.905904",Tsolo Road,Tsolo Road,02/01/2013 12:00:00 AM,02/08/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,The protesters had blocked off Tsolo Road near Nancefield railway station over the road being built ahead of RDP houses they say they were promised. The residents complained that other developments took place ahead of their RDP houses and this had angered them.,"3
(-26.2538, 27.905904)"
71,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.858096,31.019062",Monty Naicker street,Dr AB Xuma St,02/02/2013 12:00:00 AM,02/02/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,"The South African Grooms Association, an association of South African horsemen working with racehorses is not recognised by the Horseracing Authority. The demands are: Recognition Agreement; R17million stolen by Phumelela the company that is managing the J&B Met of 2 February. They stole R17m grant funding that was given to the Grooms for houses. The money was in the Horseracing Development Fund; Cancel the trainer, Ian Jayes’s eviction by Phumelela; Better working conditions for grooms.","6
(-29.858096, 31.019062)"
70,KwaZulu Natal - eThekwini,1,0,Durban,Durban University of Technology (DUT),KZN - Durban Central,"-29.849557,31.010173",Do not know,Do not know,02/05/2013 12:00:00 AM,02/05/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,3,"Student protests about accommodation shortages and other issues,","6
(-29.849557, 31.010173)"
94,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town International Convention Center,WC - Cape Town Internat Airport,"-33.915283,18.425617",Coen Steytler Ave,Buitengracht street,02/05/2013 12:00:00 AM,02/05/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,"DEMONSTRATORS referring to themselves as the ""Alternative Mining Indaba” gathered outside the Mining Indaba in Cape Town‚ saying that the government and the mining sector were placing profits ahead of people‚ the environment and sustainability","9
(-33.915283, 18.425616)"
14,Gauteng - City of Johannesburg,1,0,Johannesburg,Bramfischerville in Soweto,GP - Dobsonville,"-26.1985,27.860687",Unity road,Unity road,02/06/2013 12:00:00 AM,02/06/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"The residents want, among other things, new roads and upgrades to schools, wanted street lights, tarred roads and sports facilities for their children, They also complained about blocked drains and long grass in open areas that was posing a danger to them.","3
(-26.198499, 27.860686)"
38,North West - Maquassi Hills,0,1,Wolmaransstad,Wolmaransstad extension 15,NW - Wolmaransstad,"-27.208743,25.970379",N12,N12,02/06/2013 12:00:00 AM,02/06/2013 12:00:00 AM,0,Service delivery,9,Peaceful,0,5,"Residents of Wolmaransstad extension 15 complained about, among other things, a lack of sanitation and water, building of a road between Schweizer-Reneke and Wolmaransstad.","5
(-27.208742, 25.970379)"
58,Gauteng - City of Johannesburg,1,0,Johannesburg,"Johannesburg CBD, Gauteng’s provincial Department of Health",GP - Johannesburg Central,"-26.204811,28.037964",Sauer Street,Sauer Street,02/07/2013 12:00:00 AM,02/07/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,5,"The nurses, who qualified as nurses in May 2012, are still paid as nursing students and are demanding rightful payment. They are at the department to demand rightful translation as nurses as far as payment is concerned","3
(-26.20481, 28.037963)"
56,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria CBD,GP - Pretoria Central,"-25.744434,28.192059",Madiba Street,Madiba Street,02/08/2013 12:00:00 AM,02/08/2013 12:00:00 AM,0,Labour related,4,Violent,1,5,"Tshwane mayor’s failure to accept a memorandum of grievances on Friday upset marching municipal workers (SAMWU) who then went on the rampage and trashed city streets, At the centre of the grievances are corruption allegations within various divisions in the city, the loss of jobs when labour brokers’ contracts are terminated, and restructuring processes following the merger with the former Metsweding municipality. Samwu also claimed that the provisional report released by the Special Investigating Unit last year into corruption in the city was being selectively used by the municipality to purge Samwu workers and leaders while “political cronies” were being protected.","3
(-25.744433, 28.192059)"
98,Western Cape - City of Cape Town,1,0,Crossroads,Qingqa Mntwana Primary School,WC - Khayelitsha,"-33.990876,18.592039",New Eisleben Rd,Sithandathu Ave,02/08/2013 12:00:00 AM,02/08/2013 12:00:00 AM,0,Education related,2,Violent,1,5,"Two pupils and a protester were injured when demonstrators prevented the principal from entering the grounds of a Crossroads primary school, number of teachers and parents were opposed to principal Nosthembele Mahlathi’s return, while others welcomed her back. Some pupils were alleged to have thrown stones.","9
(-33.990876, 18.592039)"
106,Western Cape - City of Cape Town,1,0,Cape Town,Khayelitsha; Mandela Park Back-Yarders,WC - Khayelitsha,"-34.04946,18.685885",26 Rev Marawu Crescent,26 Rev Marawu Crescent,02/09/2013 12:00:00 AM,02/09/2013 12:00:00 AM,-1,Service delivery,9,Peaceful,0,5,"The Mandela backyarders, who are demanding answers as to why their housing application ended up on a dump site last year, might need to re-apply for state-subsidised housing, says chief director of National Human Settlement, Phillip Chauke.","9
(-34.04946, 18.685884)"
7,Eastern Cape - Nkonkobe,0,1,Alice,Fort Hare University,EC - Alice,"-32.785885,26.848397",Hogsburg rd,Hogsburg rd,02/11/2013 12:00:00 AM,02/13/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,"Students protested raising among others issues, grievances included:  A hike of residence fees of up to 90% and  Problems relating to security at residences.","1
(-32.785885, 26.848396)"
15,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria CBD,GP - Pretoria Central,"-25.741843,28.188949",222 Struben street,Thabo Sehume and Paul Kruger street,02/12/2013 12:00:00 AM,02/12/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,4,Few members of SADTU embarked on a picket making a call in defense of collective bargaining in the education sector and to promote labour peace. SADTU make the following claims; Call for the dismissal of the DG Bobby Soobrayan for his lack of leadership. Other issues highlighted by the picket included the following: Corruption in the education sector; Payment for the markers; Improvement of school infrastructure; Equalization of pay progression for educators; Payment of rural allowances to all qualifying educators; Permanent appointment of temporary educators in vacant substantive posts; Equalization of pay progression of educators.,"3
(-25.741842, 28.188949)"
44,Eastern Cape - Makana,0,1,Grahamstown,Mary Waters High School,EC - Grahamstown,"-33.292673,26.538921",Valley Rd,Valley Rd,02/12/2013 12:00:00 AM,02/15/2013 12:00:00 AM,0,Education related,2,Peaceful,0,5,Teaching has also been disrupted as the school is without the required nine teachers.,"1
(-33.292673, 26.53892)"
82,North West - Bojanala,0,1,Mmakau,Ga-Rankuwa Magistrate's Court,NW - Mmakau,"-25.603778,27.978773",Not applicable,Not applicable,02/12/2013 12:00:00 AM,02/12/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,5,Captain Amanda Funani said residents were calling on the court not to grant a 41-year-old man bail. He is accused of the murder of 11-year-old Offense Mogale.,"5
(-25.603777, 27.978773)"
92,Western Cape - Cape Agulhas,0,0,Bredasdorp,Bredasdorp,WC - Bredasdorp,"-34.533129,20.041938",All Saints Rd,Long St,02/12/2013 12:00:00 AM,02/12/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,1,"A group of people (women, men and children) marched through the Western Cape town of Bredasdorp on Tuesday morning to express their outrage at the rape and murder of teenager Anene Booysen.","9
(-34.533129, 20.041937)"
43,Eastern Cape - Cacadu,0,1,Paterson,Sandisilwazi High School,EC - Paterson,"-33.43999,25.965039",R342,R342,02/14/2013 12:00:00 AM,02/15/2013 12:00:00 AM,0,Education related,2,Peaceful,0,5,"Learners and parents protest outside the facility (school), that the education department has failed to appoint maths teachers for grades 8 to 12.","1
(-33.43999, 25.965039)"
21,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria CBD,GP - Pretoria Central,"-25.746289,28.186626",Bosman street,Church street,02/15/2013 12:00:00 AM,03/26/2013 12:00:00 AM,1,Labour related,4,Peaceful,0,3,"The SA Post Office can confirm that an illegal work stoppage has occurred at the Witspos and Tshwane Mailing Centres in Gauteng.  Initial investigations indicate that the work stoppage is not related to the organisation at all. Management is seeking clarity on the jreal causes of the work stoppage in order to determine the next course of action. However, the no-work-no-pay principle applies as the work stoppage remains illegal and could potentially compromise service delivery.","3
(-25.746289, 28.186626)"
22,Gauteng - City of Johannesburg,1,0,Johannesburg,Johannesburg CBD,GP - Johannesburg Central,"-26.201789,28.04654",Jeppe street,Von Wielligh street,02/15/2013 12:00:00 AM,03/26/2013 12:00:00 AM,1,Labour related,4,Peaceful,0,3,"The SA Post Office can confirm that an illegal work stoppage has occurred at the Witspos and Tshwane Mailing Centres in Gauteng.  Initial investigations indicate that the work stoppage is not related to the organisation at all. Management is seeking clarity on the jreal causes of the work stoppage in order to determine the next course of action. However, the no-work-no-pay principle applies as the work stoppage remains illegal and could potentially compromise service delivery.","3
(-26.201789, 28.04654)"
23,Gauteng - Ekurhuleni,1,0,Germiston,Germiston,GP - Germiston,"-26.211819,28.161392",Victoria street,Don't know,02/15/2013 12:00:00 AM,03/26/2013 12:00:00 AM,1,Labour related,4,Peaceful,0,3,"The SA Post Office can confirm that an illegal work stoppage has occurred at the Witspos and Tshwane Mailing Centres in Gauteng.  Initial investigations indicate that the work stoppage is not related to the organisation at all. Management is seeking clarity on the jreal causes of the work stoppage in order to determine the next course of action. However, the no-work-no-pay principle applies as the work stoppage remains illegal and could potentially compromise service delivery.","3
(-26.211818, 28.161391)"
34,Mpumalanga - Thembisile,0,0,Nkangala,Kwamhlanga,MP - Kwamhlanga,"-25.749806,28.368931",Solomon Mahlangu drive,Solomon Mahlangu drive,02/15/2013 12:00:00 AM,02/15/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,5,"School girls marched against women and child abuse, an anti rape campaign, also in solidarity to Anene Booysen's case.","7
(-25.749806, 28.368931)"
35,Mpumalanga - Emalahleni,0,0,Witbank,Emalahleni,MP - Witbank,"-25.886298,29.228358",OR Tambo Rd,OR Tambo Rd,02/15/2013 12:00:00 AM,02/15/2013 12:00:00 AM,-1,Labour related,4,Violent,1,5,"Protesting employees at the Emalahleni Local Municipality in Mpumalanga manhandled a local manager they accused of corruption, removing his shoes and tearing his clothes.","7
(-25.886298, 29.228358)"
97,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town station,WC - Cape Town Central,"-33.92213,18.425064",Adderley St,Strand St,02/15/2013 12:00:00 AM,02/15/2013 12:00:00 AM,1,Crime related,1,Peaceful,0,3,"Various organisations took to major cities to protest against rape and violence against women and children in the One Billion Rising campaign. As a backdrop to the brutal rape and killing of Anene Booysen, organisations in Cape Town gathered at the Cape Town station to protest. Speaking at the demonstration, LeadSA’s Yusuf Abramjee called on President Jacob Zuma to act.","9
(-33.92213, 18.425063)"
234,Gauteng - City of Johannesburg,1,0,Johannesburg,Lenasia,GP - Lenasia,"-26.298089,27.872628",K43,K43,02/15/2013 12:00:00 AM,02/15/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,5,"Being Black Friday, the picketers held up posters, slamming rape and calling for harsher punishment against perpetrators. Early morning motorists driving past, hooted in support. The protests was Organised by Lenasia Active Citizenry and the Women for Peace, the protest drew about 50 people, from a number of organisations.","3
(-26.298089, 27.872627)"
104,Western Cape - City of Cape Town,1,0,Cape Town,Parliament,WC - Cape Town Central,"-33.927671,18.4186",Plein Street,Plein Street,02/17/2013 12:00:00 AM,02/17/2013 12:00:00 AM,0,Labour related,4,Peaceful,0,2,"Fearing job losses due to cheap imports of chicken from Brazil and the European Union, about 100 members of the Food Allied Workers Union (FAWU) protested  in Plein Street outside Parliament yesterday calling for government intervention.","9
(-33.92767, 18.4186)"
54,Gauteng - City of Johannesburg,1,0,Johannesburg,Vlakfontein informal settlement,GP - Roodepoort,"-26.380351,27.886662",Randfontein Road,Impala Road and Corlett Avenue,02/21/2013 12:00:00 AM,02/21/2013 12:00:00 AM,0,Service delivery,9,Violent,1,5,It was unclear what the protests were about.,"3
(-26.380351, 27.886662)"
91,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town CBD,WC - Cape Town Central,"-33.931023,18.433414",Keizergracht Street,Wale Street,02/21/2013 12:00:00 AM,02/21/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,3,"ANCWL led march against women and child abuse (Rape and Killing of women and children). The most notable case was the gang-rape, murder, and mutilation of Anene Booysen, aged 17, in Bredasdorp three weeks ago.
The body of Ge-Audrey Bianca Green, aged 19, of Scottsville was recently found stashed in a drawer beneath a bunk bed, and a week ago the body of 18-year-old Jo-Anne Diane van Schalkwyk was found in bushes near Atlantis.
On Monday, Melandri Bukkies, aged 20, was stabbed and killed in her Atlantis home, allegedly by her ex-boyfriend. ANCWL called for an end to violent crimes committed against women and children in the Western Cape.","9
(-33.931023, 18.433413)"
20,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria CBD,GP - Pretoria Central,"-25.750053,28.183751",Francis Baard street,Sophie de Bruyn street,02/22/2013 12:00:00 AM,02/22/2013 12:00:00 AM,0,Crime related,1,Peaceful,0,5,"Group of people protested in what appears to be solidarity against violence and crime against women outside the magistrate court during the bail hearing of Oscar Pistorious. The paralympian athlete is accused of murdering his girlfriend, Reeva Steenkamp at his house in the east of Pretoria, last week","3
(-25.750053, 28.183751)"
